,modelo,parametros,rmse,nlpd,mape,fold,tentativa
37,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.09251147175956748, 'order': 7.0}",5.124680256446869e+28,,1.0,2,7.0
38,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.09251147175956748, 'order': 7.0}",3.2217715832560137e+27,,1.0,3,7.0
39,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.09251147175956748, 'order': 7.0}",2.7776922110002967e+27,,1.0,4,7.0
40,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.0075325541851084445, 'order': 7.0}",3.2273358267556306e+29,,1.0,0,8.0
41,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.0075325541851084445, 'order': 7.0}",5.875998968451767e+28,,1.0,1,8.0
42,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.0075325541851084445, 'order': 7.0}",1.583704661498836e+28,,1.0,2,8.0
43,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.0075325541851084445, 'order': 7.0}",5.782110216006036e+28,,1.0,3,8.0
44,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.0075325541851084445, 'order': 7.0}",5.525419954835798e+27,,1.0,4,8.0
45,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.0427099418913863, 'order': 8.0}",8.008894283716636e+34,,1.0,0,9.0
46,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.0427099418913863, 'order': 8.0}",8.422120973024388e+31,,1.0,1,9.0
47,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.0427099418913863, 'order': 8.0}",4.417253122570851e+33,,1.0,2,9.0
48,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.0427099418913863, 'order': 8.0}",3.9992336370357646e+32,,1.0,3,9.0
49,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.0427099418913863, 'order': 8.0}",6.3696705769621985e+31,,1.0,4,9.0
50,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.016824107351578407, 'order': 4.0}",1709878.6779408983,,0.9993300698834845,0,10.0
51,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.016824107351578407, 'order': 4.0}",174526.4857707723,,1.0630141992208528,1,10.0
52,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.016824107351578407, 'order': 4.0}",9432200.781434258,,0.9989533134415943,2,10.0
53,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.016824107351578407, 'order': 4.0}",5859924.756973215,,0.8953213368681018,3,10.0
54,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.016824107351578407, 'order': 4.0}",98194.69782010328,,1.978718226909737,4,10.0
55,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.07749177765023219, 'order': 2.0}",3039.1912284109067,19.598393524389742,1.0287806639766153,0,11.0
56,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.07749177765023219, 'order': 2.0}",2950.062935914768,19.597829229813485,0.8841663079990815,1,11.0
57,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.07749177765023219, 'order': 2.0}",2742.7061783041277,19.60064992516441,1.1454349379314939,2,11.0
58,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.07749177765023219, 'order': 2.0}",8129.637749364638,19.60019767226983,1.363268628077313,3,11.0
59,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.07749177765023219, 'order': 2.0}",29499.383443502036,16.929252290448314,0.8576599328886392,4,11.0
60,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.025278818353292362, 'order': 6.0}",2.119071181073277e+23,,1.0,0,12.0
61,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.025278818353292362, 'order': 6.0}",4.180545020265094e+20,,0.9999999999999983,1,12.0
62,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.025278818353292362, 'order': 6.0}",1.6128485367918973e+22,,1.0,2,12.0
63,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.025278818353292362, 'order': 6.0}",3.4826085744112935e+19,,1.0000000000001676,3,12.0
64,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.025278818353292362, 'order': 6.0}",6.721455894001046e+19,,1.000000000000006,4,12.0
65,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.03927913681033608, 'order': 4.0}",2117944.5751586496,,0.9974013945607656,0,13.0
66,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.03927913681033608, 'order': 4.0}",69479.46859423598,,0.9220577597672781,1,13.0
67,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.03927913681033608, 'order': 4.0}",7070158.892550299,,0.9999543713043344,2,13.0
68,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.03927913681033608, 'order': 4.0}",5839719.487166291,19.2699298805197,0.881174396525993,3,13.0
69,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.03927913681033608, 'order': 4.0}",67955.69487095946,,1.2706429693355925,4,13.0
