,modelo,parametros,rmse,nlpd,mape,fold,tentativa
0,BayesianLinearRegression,"{'alphaInit': 0.7716863447704624, 'lambdaInit': 0.06523472357384107}",2874.854834158508,20.161267605442724,0.5386011176993017,0,0.0
1,BayesianLinearRegression,"{'alphaInit': 0.7716863447704624, 'lambdaInit': 0.06523472357384107}",2852.746239296039,20.16124852812099,0.48267304605837297,1,0.0
2,BayesianLinearRegression,"{'alphaInit': 0.7716863447704624, 'lambdaInit': 0.06523472357384107}",2593.4008155501797,20.163343576275768,0.49515753530696643,2,0.0
3,BayesianLinearRegression,"{'alphaInit': 0.7716863447704624, 'lambdaInit': 0.06523472357384107}",3112.5814340746483,20.160642260856783,0.46870864849958416,3,0.0
4,BayesianLinearRegression,"{'alphaInit': 0.7716863447704624, 'lambdaInit': 0.06523472357384107}",29511.92728966964,17.111877820454293,0.6909973066418912,4,0.0
5,BayesianLinearRegression,"{'alphaInit': 0.21060362257121754, 'lambdaInit': 0.6048539343460241}",2874.8545756377885,20.1612676105549,0.5385823553554807,0,1.0
6,BayesianLinearRegression,"{'alphaInit': 0.21060362257121754, 'lambdaInit': 0.6048539343460241}",2852.746025718637,20.161248532840393,0.4826740184784447,1,1.0
7,BayesianLinearRegression,"{'alphaInit': 0.21060362257121754, 'lambdaInit': 0.6048539343460241}",2593.4005472181057,20.163343580617838,0.495158444874783,2,1.0
8,BayesianLinearRegression,"{'alphaInit': 0.21060362257121754, 'lambdaInit': 0.6048539343460241}",3112.5812915870993,20.160642265273385,0.4687089076215146,3,1.0
9,BayesianLinearRegression,"{'alphaInit': 0.21060362257121754, 'lambdaInit': 0.6048539343460241}",29511.927289671134,17.111877820457046,0.6909973065624786,4,1.0
10,BayesianLinearRegression,"{'alphaInit': 1.0106796015983988, 'lambdaInit': 0.9424392233810125}",2874.8547554729935,20.16126760699869,0.5385954062180999,0,2.0
11,BayesianLinearRegression,"{'alphaInit': 1.0106796015983988, 'lambdaInit': 0.9424392233810125}",2852.746174290694,20.16124852955739,0.48267334201756296,1,2.0
12,BayesianLinearRegression,"{'alphaInit': 1.0106796015983988, 'lambdaInit': 0.9424392233810125}",2593.4007338798842,20.163343577597313,0.4951578121356107,2,2.0
13,BayesianLinearRegression,"{'alphaInit': 1.0106796015983988, 'lambdaInit': 0.9424392233810125}",3112.5813907047564,20.160642262201073,0.46870872736912184,3,2.0
14,BayesianLinearRegression,"{'alphaInit': 1.0106796015983988, 'lambdaInit': 0.9424392233810125}",29511.927289670093,17.11187782045513,0.6909973066177104,4,2.0
15,BayesianLinearRegression,"{'alphaInit': 0.7492271468060303, 'lambdaInit': 1.0944173894192921}",2874.8547064732943,20.161267607967638,0.5385918498787841,0,3.0
16,BayesianLinearRegression,"{'alphaInit': 0.7492271468060303, 'lambdaInit': 1.0944173894192921}",2852.7461338096496,20.16124853045189,0.48267352632621574,1,3.0
17,BayesianLinearRegression,"{'alphaInit': 0.7492271468060303, 'lambdaInit': 1.0944173894192921}",2593.4006830208223,20.163343578420296,0.4951579845312674,2,3.0
18,BayesianLinearRegression,"{'alphaInit': 0.7492271468060303, 'lambdaInit': 1.0944173894192921}",3112.5813636976254,20.160642263038195,0.46870877648295983,3,3.0
19,BayesianLinearRegression,"{'alphaInit': 0.7492271468060303, 'lambdaInit': 1.0944173894192921}",29511.927289670384,17.11187782045565,0.6909973066026566,4,3.0
20,BayesianLinearRegression,"{'alphaInit': 0.6437487041080522, 'lambdaInit': 0.5773956432298268}",2874.8547587714424,20.161267606933464,0.5385956456255399,0,4.0
21,BayesianLinearRegression,"{'alphaInit': 0.6437487041080522, 'lambdaInit': 0.5773956432298268}",2852.7461770156933,20.161248529497175,0.48267332961087644,1,4.0
22,BayesianLinearRegression,"{'alphaInit': 0.6437487041080522, 'lambdaInit': 0.5773956432298268}",2593.40073730348,20.163343577541912,0.4951578005308581,2,4.0
23,BayesianLinearRegression,"{'alphaInit': 0.6437487041080522, 'lambdaInit': 0.5773956432298268}",3112.5813925227744,20.16064226214472,0.468708724062977,3,4.0
24,BayesianLinearRegression,"{'alphaInit': 0.6437487041080522, 'lambdaInit': 0.5773956432298268}",29511.92728967007,17.111877820455096,0.6909973066187276,4,4.0
25,BayesianLinearRegression,"{'alphaInit': 0.7502754909468375, 'lambdaInit': 0.0677027259433149}",2874.8548336292724,20.161267605453194,0.5386010792817268,0,5.0
26,BayesianLinearRegression,"{'alphaInit': 0.7502754909468375, 'lambdaInit': 0.0677027259433149}",2852.7462388588183,20.161248528130653,0.4826730480489403,1,5.0
27,BayesianLinearRegression,"{'alphaInit': 0.7502754909468375, 'lambdaInit': 0.0677027259433149}",2593.400815000873,20.163343576284653,0.49515753716886035,2,5.0
28,BayesianLinearRegression,"{'alphaInit': 0.7502754909468375, 'lambdaInit': 0.0677027259433149}",3112.581433782941,20.160642260865824,0.46870864903006065,3,5.0
29,BayesianLinearRegression,"{'alphaInit': 0.7502754909468375, 'lambdaInit': 0.0677027259433149}",29511.927289669642,17.111877820454296,0.6909973066417314,4,5.0
30,BayesianLinearRegression,"{'alphaInit': 1.1, 'lambdaInit': 0.35913743013403343}",2874.8548117024384,20.16126760588678,0.5385994876258436,0,6.0
31,BayesianLinearRegression,"{'alphaInit': 1.1, 'lambdaInit': 0.35913743013403343}",2852.74622074423,20.161248528530923,0.482673130520901,1,6.0
32,BayesianLinearRegression,"{'alphaInit': 1.1, 'lambdaInit': 0.35913743013403343}",2593.400792242415,20.163343576652917,0.49515761430979605,2,6.0
33,BayesianLinearRegression,"{'alphaInit': 1.1, 'lambdaInit': 0.35913743013403343}",3112.5814216972017,20.160642261240433,0.4687086710082652,3,6.0
34,BayesianLinearRegression,"{'alphaInit': 1.1, 'lambdaInit': 0.35913743013403343}",29511.92728966977,17.111877820454534,0.690997306634991,4,6.0
35,BayesianLinearRegression,"{'alphaInit': 0.8335955040698867, 'lambdaInit': 0.2412030814184532}",2874.8548151488785,20.16126760581863,0.5385997377972338,0,7.0
