,modelo,parametros,rmse,nlpd,fold
0,RegressaoLinear,{},0.07630524797153018,2.911245433998355e+57,0
1,RegressaoLinear,{},0.07630524797153018,2.911245433998355e+57,0
2,RegressaoLinear,{},0.07630524797153018,2.911245433998355e+57,0
3,RegressaoLinear,{},0.07630524797153018,2.911245433998355e+57,0
4,RegressaoLinear,{},0.07630524797153018,2.911245433998355e+57,0
5,RegressaoLinear,{},0.033943217649581824,5.7607101220344145e+56,1
6,RegressaoLinear,{},0.033943217649581824,5.7607101220344145e+56,1
7,RegressaoLinear,{},0.033943217649581824,5.7607101220344145e+56,1
8,RegressaoLinear,{},0.033943217649581824,5.7607101220344145e+56,1
9,RegressaoLinear,{},0.033943217649581824,5.7607101220344145e+56,1
10,RegressaoLinear,{},0.03159251175325077,4.9904339943964396e+56,2
11,RegressaoLinear,{},0.03159251175325077,4.9904339943964396e+56,2
12,RegressaoLinear,{},0.03159251175325077,4.9904339943964396e+56,2
13,RegressaoLinear,{},0.03159251175325077,4.9904339943964396e+56,2
14,RegressaoLinear,{},0.03159251175325077,4.9904339943964396e+56,2
15,RegressaoLinear,{},0.031163726811258556,4.855889343833774e+56,3
16,RegressaoLinear,{},0.031163726811258556,4.855889343833774e+56,3
17,RegressaoLinear,{},0.031163726811258556,4.855889343833774e+56,3
18,RegressaoLinear,{},0.031163726811258556,4.855889343833774e+56,3
19,RegressaoLinear,{},0.031163726811258556,4.855889343833774e+56,3
20,RegressaoLinear,{},0.047717238796410086,1.1384674391768116e+57,4
21,RegressaoLinear,{},0.047717238796410086,1.1384674391768116e+57,4
22,RegressaoLinear,{},0.047717238796410086,1.1384674391768116e+57,4
23,RegressaoLinear,{},0.047717238796410086,1.1384674391768116e+57,4
24,RegressaoLinear,{},0.047717238796410086,1.1384674391768116e+57,4
