,modelo,parametros,rmse,nlpd,fold,tentativa
31,BayesianPolinomialLinearRegression,"{'alphaInit': 1.1, 'lambdaInit': 1.1, 'order': 2.0}",2459.8629420378084,3086654690.022358,1,6.0
32,BayesianPolinomialLinearRegression,"{'alphaInit': 1.1, 'lambdaInit': 1.1, 'order': 2.0}",3153.955362333784,1609626452.2094948,2,6.0
33,BayesianPolinomialLinearRegression,"{'alphaInit': 1.1, 'lambdaInit': 1.1, 'order': 2.0}",2410.732591281842,2940460978.4326186,3,6.0
34,BayesianPolinomialLinearRegression,"{'alphaInit': 1.1, 'lambdaInit': 1.1, 'order': 2.0}",2579.1305649641145,3469922106.1848254,4,6.0
35,BayesianPolinomialLinearRegression,"{'alphaInit': 0.0001, 'lambdaInit': 1.1, 'order': 4.0}",2504.1639662187563,3214441501.553221,0,7.0
36,BayesianPolinomialLinearRegression,"{'alphaInit': 0.0001, 'lambdaInit': 1.1, 'order': 4.0}",2448.816143312808,3068580799.7561088,1,7.0
37,BayesianPolinomialLinearRegression,"{'alphaInit': 0.0001, 'lambdaInit': 1.1, 'order': 4.0}",3151.5533343105403,1618147605.2670903,2,7.0
38,BayesianPolinomialLinearRegression,"{'alphaInit': 0.0001, 'lambdaInit': 1.1, 'order': 4.0}",2511.485093295659,3204274367.2127614,3,7.0
39,BayesianPolinomialLinearRegression,"{'alphaInit': 0.0001, 'lambdaInit': 1.1, 'order': 4.0}",2580.1836148843586,3494242466.786371,4,7.0
40,BayesianPolinomialLinearRegression,"{'alphaInit': 0.0001, 'lambdaInit': 0.0001, 'order': 2.0}",2469.1307756161605,3114249075.419563,0,8.0
41,BayesianPolinomialLinearRegression,"{'alphaInit': 0.0001, 'lambdaInit': 0.0001, 'order': 2.0}",2459.8629420378084,3086654690.022358,1,8.0
42,BayesianPolinomialLinearRegression,"{'alphaInit': 0.0001, 'lambdaInit': 0.0001, 'order': 2.0}",3153.955362333784,1609626452.2094948,2,8.0
43,BayesianPolinomialLinearRegression,"{'alphaInit': 0.0001, 'lambdaInit': 0.0001, 'order': 2.0}",2410.732591281842,2940460978.4326186,3,8.0
44,BayesianPolinomialLinearRegression,"{'alphaInit': 0.0001, 'lambdaInit': 0.0001, 'order': 2.0}",2579.1305649641145,3469922106.1848254,4,8.0
45,BayesianPolinomialLinearRegression,"{'alphaInit': 1.1, 'lambdaInit': 0.0001, 'order': 7.0}",2459.0814149950725,3096982262.481996,0,9.0
46,BayesianPolinomialLinearRegression,"{'alphaInit': 1.1, 'lambdaInit': 0.0001, 'order': 7.0}",2450.9402009059536,3075561205.3043904,1,9.0
47,BayesianPolinomialLinearRegression,"{'alphaInit': 1.1, 'lambdaInit': 0.0001, 'order': 7.0}",3151.2176354028265,1620066645.9486897,2,9.0
48,BayesianPolinomialLinearRegression,"{'alphaInit': 1.1, 'lambdaInit': 0.0001, 'order': 7.0}",2407.8043806833653,2946128242.6816683,3,9.0
49,BayesianPolinomialLinearRegression,"{'alphaInit': 1.1, 'lambdaInit': 0.0001, 'order': 7.0}",2578.9411851283953,3495247285.7703705,4,9.0
50,BayesianPolinomialLinearRegression,"{'alphaInit': 1.1, 'lambdaInit': 0.0001, 'order': 2.0}",2469.1305662348877,3114249630.4276075,0,10.0
51,BayesianPolinomialLinearRegression,"{'alphaInit': 1.1, 'lambdaInit': 0.0001, 'order': 2.0}",2459.862892667128,3086655531.442984,1,10.0
52,BayesianPolinomialLinearRegression,"{'alphaInit': 1.1, 'lambdaInit': 0.0001, 'order': 2.0}",3153.9553495830874,1609626687.5324259,2,10.0
53,BayesianPolinomialLinearRegression,"{'alphaInit': 1.1, 'lambdaInit': 0.0001, 'order': 2.0}",2410.7326807626105,2940461411.238417,3,10.0
54,BayesianPolinomialLinearRegression,"{'alphaInit': 1.1, 'lambdaInit': 0.0001, 'order': 2.0}",2579.130535311667,3469922929.965784,4,10.0
